product_id,product_name,category,description,target_segment,min_balance,annual_fee,interest_rate
P001,Premium Cashback Credit Card,Credit Card,2% cashback on all purchases with premium benefits,High Spender,0,95,19.99
P002,High-Yield Savings Account,Savings,3.5% APY on savings with no minimum balance,Saver,0,0,3.50
P003,Business Checking Account,Checking,No monthly fees for business with unlimited transactions,Business,1000,0,0.10
P004,Personal Loan,Loan,Low interest personal loan up to $50000,Credit Builder,0,0,8.99
P005,Investment Portfolio,Investment,Diversified investment options with professional management,Investor,5000,0,0.00
P006,Travel Rewards Credit Card,Credit Card,3x points on travel purchases and dining,Travel Enthusiast,0,0,21.99
P007,Student Banking Package,Checking,Free banking for students with mobile app,Student,0,0,0.05
P008,Mortgage Loan,Loan,Competitive rates for home financing,Home Buyer,0,0,6.25
P009,Certificate of Deposit,Savings,Fixed-term deposit with guaranteed returns,Conservative Investor,1000,0,4.25
P010,Small Business Loan,Loan,Funding solutions for small business growth,Business Owner,0,0,7.50
